ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
366,"7908300005","07908354","JOB 1/4 ROLLING PAPER","1.25","1","1.56","1.560","3.50",,,,,"Tax","ROLLING PAPERS & CONES",,"Nepa 305","19.00",19,"55.43",0,0,"D",0,"general",0,"00478",24,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
367,"7920000336","07933624","NERDS GRAPE STRAWBERRY","1.65OZ","1","0.00","0.000","2.50",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","0.00",0,"100.00",1,1,"C",0,"general",0,"74950",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
368,"8163514466","081635144666","CHEECH CHONG CERAMIC PIPE","MISC","1","0.00","0.000","20.00",,,,,"Tax","HAND PIPES",,"UNKNOWN","2.00",2,"100.00",1,0,"D",0,"general",0,"20193",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
369,"8163552715","081635527155","TREE HEAD INCENSE HOLDER","MISC","1","0.00","0.000","26.99",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","0.00",0,"100.00",1,0,"D",0,"general",0,"33648",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
370,"8163552716","081635527162","ALIEN INCENSE HOLDER","MISC","1","0.00","0.000","26.99",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"11882",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
374,"8640000067","08646733","OCB PAPER SOLAIRE KING SLIM + TIPS ROLLING","KINGSIZE","1","0.00","0.000","4.00",,,,,"Tax","ROLLING PAPERS & CONES",,"UNKNOWN","6.00",6,"100.00",1,1,"C",0,"general",0,"39239",1,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
375,"8640000022","08642232","OCB PAPER ORGANIC HEMP 1/4","1/4","1","0.00","0.000","3.50",,,,,"Tax","ROLLING PAPERS & CONES",,"UNKNOWN","14.00",14,"100.00",0,0,"D",0,"general",0,"20987",1,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
376,"8640000068","08646830","OCB PAPER SOPHISTIQUE 1/4 + TIPS ROLLING","1/4","1","1.05","1.270","4.00",,,,,"Tax","ROLLING PAPERS & CONES",,"HIGHEST GOODS","28.00",28,"73.75",1,1,"C",0,"general",0,"65385",24,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
377,"8640000083","08648333","JOB ORANGE 1/4 ROLLING PAPER","11/4","1","0.56","0.560","1.00",,,,,"Tax","ROLLING PAPERS & CONES",,"Nepa 305","88.00",88,"44.00",3,3,"C",0,"general",0,"11383",100,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
378,"8640090324","086400903240","OCB PAPER PREMIUM 1/4 + TIPS ROLLING","1/4","1","1.11","1.240","4.00",,,,,"Tax","ROLLING PAPERS & CONES",,"Nepa 305","24.00",24,"72.25",0,0,"D",0,"general",0,"02645",24,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
